CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,GFN1-xTB,GFN2-xTB,wB97M-V
3.6A,7,8,0.0008855202602684,-0.1643164883211308,-0.0410836823111638,-0.00861917,-0.003313,0.006994
3.7A,1,6,-0.0966165725102037,-0.2441289934254369,-0.1141992006564851,-0.13083637,-0.15512247,-0.11321
3.7A,2,1,0.024285200803563,0.1547396156922987,0.0525657969507139,0.03875785,0.03913123,0.020859
3.7A,3,1,0.0240182622853675,0.131165308012963,0.042766412945976,0.03510825,0.03973632,0.027756
3.7A,4,1,0.0240440579564731,0.1351770458908298,0.0436413099420941,0.03569983,0.03986617,0.027532
3.7A,5,1,0.0240920379211371,0.1454920686529841,0.0475989761275484,0.03661627,0.03915092,0.025403
3.7A,6,8,-0.0005326678534494,-0.1600431312006836,-0.0353391128084472,-0.00785211,-0.00022805,0.005738
3.7A,7,8,0.0007096820001475,-0.1624019136229551,-0.0370341825014,-0.00749374,-0.00253412,0.005943
3.8A,1,6,-0.0964785683347564,-0.2450812484927128,-0.1164235693326128,-0.13124645,-0.15516145,-0.112758
3.8A,2,1,0.0242035457055159,0.1533705083212831,0.050676187848116,0.03788955,0.03869824,0.021716
3.8A,3,1,0.0240335031461624,0.1311805205130342,0.0418476480415356,0.03511301,0.03959858,0.027788
3.8A,4,1,0.0240494236755819,0.1350024635861907,0.042596215733012,0.03555707,0.03966961,0.027584
3.8A,5,1,0.0240798598135827,0.1447503669168687,0.0461116760291404,0.03631317,0.03896048,0.025727
3.8A,6,8,-0.0004698538965515,-0.1585831080864331,-0.0316020538241967,-0.00690987,0.00020423,0.00492
3.8A,7,8,0.0005820904927311,-0.1606395027582309,-0.0332061044949946,-0.00671649,-0.00196969,0.005042
3.9A,1,6,-0.0963876932692393,-0.2459655256648812,-0.1185081046407618,-0.13153621,-0.15520689,-0.11239
3.9A,2,1,0.0241509112488007,0.1521114026254369,0.0488910984372158,0.03725893,0.03843607,0.022499
3.9A,3,1,0.0240432389079741,0.1311870872510471,0.0409925625176776,0.03514955,0.0394979,0.0278
3.9A,4,1,0.0240529774633631,0.134832471263932,0.0416287051983822,0.03548663,0.03953178,0.027617
3.9A,5,1,0.0240721290912124,0.144058197743552,0.04472895788676,0.03611696,0.03884568,0.026006
3.9A,6,8,-0.0004187758653959,-0.1572121727645215,-0.0281150722661692,-0.00627588,0.00046029,0.004228
3.9A,7,8,0.0004872130242341,-0.1590114604545653,-0.0296181471331046,-0.00619999,-0.00156483,0.00426
4.0A,1,6,-0.0963279914919215,-0.2467888278192301,-0.1204470066203915,-0.13173712,-0.15525746,-0.112072
4.0A,2,1,0.0241172203398565,0.1509502277015606,0.0472209829654366,0.03682041,0.03829262,0.023182
4.0A,3,1,0.0240494493540741,0.1311861980571207,0.0402032566149622,0.03519013,0.03942463,0.027806
4.0A,4,1,0.0240553553357191,0.1346670545283323,0.0407402389293165,0.03545369,0.03943566,0.027643
4.0A,5,1,0.0240673080783735,0.1434109467610768,0.0434549643277081,0.03598961,0.03878331,0.02625
4.0A,6,8,-0.000376180062525,-0.1559229228896715,-0.0248887776159822,-0.00585666,0.00059542,0.00362
4.0A,7,8,0.0004148390456994,-0.1575026763391886,-0.0262836586010498,-0.00586006,-0.00127417,0.003591
4.1A,1,6,-0.0962888004407718,-0.2475572503841049,-0.1222371669709385,-0.13187582,-0.15530627,-0.111808
